model,val_loss,accuracy,precision,recall_sensitivity,specificity,f1,val_roc_auc,duration_seconds
baseline,0.10687783017788653,0.9130434782608695,0.9811320754716981,0.8979591836734694,0.9535864978902954,0.9377049180327869,0.9764388715564122,0.0
densenet121,0.10382568360534358,0.9279176201372997,0.9897610921501706,0.9105180533751962,0.9746835443037974,0.9484873262469338,0.9839172280401937,0.0
efficientnet_b0,0.14119643958400535,0.8947368421052632,0.9722703639514731,0.880690737833595,0.9324894514767933,0.9242174629324547,0.9681391543959356,0.0
mobilenet_v3,0.20585020485779512,0.88558352402746,0.8841201716738197,0.9701726844583988,0.6582278481012658,0.9251497005988024,0.9622637760069949,0.0
